t=2026-04-02T13:16:19+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-02T13:16:19+0530 lvl=info msg="using configuration at default config path" path="/Users/ankitmehta/Library/Application Support/ngrok/ngrok.yml"
t=2026-04-02T13:16:19+0530 lvl=info msg="open config file" path="/Users/ankitmehta/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-04-02T13:16:19+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-02T13:16:19+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-02T13:16:19+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-02T13:16:19+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-02T13:16:20+0530 lvl=info msg="started tunnel" obj=tunnels name=mi1k addr=http://localhost:3100 url=https://degressively-endermic-carie.ngrok-free.dev
t=2026-04-02T13:16:22+0530 lvl=info msg=start pg=/api/tunnels id=10eeb02452d059cf
t=2026-04-02T13:16:22+0530 lvl=info msg=end pg=/api/tunnels id=10eeb02452d059cf status=200 dur=582.209µs
t=2026-04-02T13:17:19+0530 lvl=info msg="join connections" obj=join id=d778d7cdc524 l=[::1]:3100 r=223.181.109.132:10554
t=2026-04-02T13:17:58+0530 lvl=info msg="join connections" obj=join id=16d7cf55fcab l=[::1]:3100 r=223.181.109.132:8769
t=2026-04-02T13:18:57+0530 lvl=info msg="join connections" obj=join id=6ff5f7a6948e l=[::1]:3100 r=223.181.109.132:8769
t=2026-04-02T13:19:07+0530 lvl=info msg="join connections" obj=join id=a01002bba6da l=[::1]:3100 r=223.181.109.132:8769
t=2026-04-02T13:19:08+0530 lvl=info msg="join connections" obj=join id=7f795118dfa5 l=[::1]:3100 r=223.181.109.132:8769
t=2026-04-02T13:19:08+0530 lvl=info msg="join connections" obj=join id=94992dc028cf l=[::1]:3100 r=223.181.109.132:8769
t=2026-04-02T13:19:08+0530 lvl=info msg="join connections" obj=join id=23602767b768 l=[::1]:3100 r=223.181.109.132:8769
t=2026-04-02T13:19:09+0530 lvl=info msg="join connections" obj=join id=e88847443aab l=[::1]:3100 r=223.181.109.132:8769
t=2026-04-02T13:19:19+0530 lvl=info msg="join connections" obj=join id=22719dec87a1 l=[::1]:3100 r=223.181.109.132:8769
t=2026-04-02T13:21:31+0530 lvl=info msg="join connections" obj=join id=2d7e6c4fe28d l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:31+0530 lvl=info msg="join connections" obj=join id=3f29ce2ba430 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=7507b06ca11a l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=b1b6691cc9d8 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=294c817e0821 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=3c49dedffa86 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=69c77498a6cd l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=41d495e1c9a9 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=59dc8f322fbb l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=4a2df8c6b99f l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=7dc4913b529a l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=29f73ec4e96e l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=a6890ad0c02e l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=1f81ff601e7a l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=cd99f851c5ea l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=dccdb54b513f l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=34669c705738 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=5511059880f8 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=0e2e2c1c9855 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=a999012a4996 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=4d219685e78d l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=92f2ce7a1527 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=6057a43fb68c l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=da45196fc6cc l=[::1]:3100 r=223.181.109.132:23938
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=5091c4e2210a l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:32+0530 lvl=info msg="join connections" obj=join id=eb569f6e2f84 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:34+0530 lvl=info msg="join connections" obj=join id=f462f6b6372c l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:34+0530 lvl=info msg="join connections" obj=join id=8ecf46025efd l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:36+0530 lvl=info msg="join connections" obj=join id=6012b4007358 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:36+0530 lvl=info msg="join connections" obj=join id=67de771fed7c l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:38+0530 lvl=info msg="join connections" obj=join id=c79a60717295 l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:38+0530 lvl=info msg="join connections" obj=join id=41b87c16175d l=[::1]:3100 r=223.181.109.132:23505
t=2026-04-02T13:21:40+0530 lvl=info msg="join connections" obj=join id=c2aa8a39fd2d l=[::1]:3100 r=223.181.109.132:23505
